=== SHEET: 1. Executive Summary ===
Hireup JIRA Scope Analysis — Finalised Report			
Project	Hireup Payroll Implementation		
SOW Reference	SOW No. 20250717H		
SOW Value	$170,000 (fixed price)		
SOW Date	August 2025		
Analysis Date	16 April 2026		
Prepared By	2cloudnine		
Review Method	Multi-agent independent review (3 passes)		
CLASSIFICATION SUMMARY			
Category	Count	% of Total	
In Scope	63	65%	
Scope Creep / Feature Request	19	20%	
Borderline	15	15%	
Total	97	100%	
COMMERCIAL EXPOSURE SUMMARY			
	Low Estimate	High Estimate	% of SOW
Scope Creep CRs (19 tickets)	$44,000	$59,000	26-35%
Borderline — Negotiate (7 tickets)	$10,000	$18,000	6-11%
Borderline — CR (3 tickets)	$5,000	$10,000	3-6%
Borderline — Absorb (5 tickets)	$0	$0	Goodwill
Goodwill Concessions	($13,000)	($20,000)	Relationship investment
Net Recoverable Target	$46,000	$67,000	27-39%
RECOMMENDED CR PACKAGING			
CR	Description	Est. Value	Priority
CR-1	Sleepover Engine Extension (7 tickets)	$20k-$25k	Raise immediately — strongest position
CR-2	Portable LSL Compliance (3 tickets)	$25k-$35k	Raise immediately — zero ambiguity
CR-3	Enhancements & Integrations bundle (9 tickets)	$14k-$20k	Raise after CR-1/CR-2 — negotiation flex
	Package discount (all 3 CRs)	10-15% off	Incentivise single approval
KEY FINDINGS			
#	Finding	Commercial Impact	
1	Sleepover Engine Extension (7 tickets) — SOW Gap 2 is narrowly worded: 'compliance hours at the lower rate'. Minimum top-ups, 18+ hour logic, back-to-back scenarios, OT aggregation, and midday penalties are all beyond this.	Largest CR — $20-25k	
2	Portable LSL (3 tickets) — New compliance stream not in SOW, Requirements Workbook, or Discovery Workbook.	Separate CR — $25-35k	
3	Hibiscus Release (PAYM-262) — SOW Section 5 Assumption 8 explicitly excludes future product releases.	CR required for any adoption work	
4	Simplification Cluster (4 tickets, PAYM-327-330) — Rework of initial designs. SOW commits to one build cycle. Shared accountability.	Negotiate 50/50 cost share	
5	Custom UI Widget (PAYM-334) — Already built per JIRA comments. Must be commercially reconciled.	Reconcile as consumed work	
6	Min Contracted Hours (PAYM-271) — JIRA comments acknowledge 'most likely will be a change request'.	CR — client pre-acknowledges	
TOP ACTIONS			
#	Action	Timing	
1	Raise CR-1 (Sleepover) and CR-2 (Portable LSL) with Hireup	Before PPT2 completes	
2	Resolve Simplification cluster (327-330) — shared accountability discussion	This week	
3	Flag PAYM-334 (custom widget) — already built, must be reconciled	Next commercial meeting	
4	Absorb 5 borderline items as goodwill to strengthen CR positions	Proactively communicate	
5	Prepare formal CR documentation with SOW clause citations	Before client meeting	
SOW SCOPE REFERENCE			
Section	Scope		
3.1	Project Management and Governance		
3.2	Discovery and Design (SCHADS MA000100 interpretation)		
3.3	Installation and Configuration (Payroll, Award Interpretation, GL/Netsuite, Salesforce UI)		
3.4	Data Migration (one UAT, one pre-Go-Live)		
3.5	Testing (functional testing, UAT, parallel runs — 2 full pay cycles)		
3.6	Training (end-user and administrator)		
3.7	Go-Live and Post Go-Live Support (hypercare — 2 full pay cycles)		
3.8	Consultant Support (meetings, ad hoc, tech support for Hireup integration)		
SOW SECTION 4 — GAP DELIVERABLES			
Gap	Description		
1	Day Penalties / Loading (midnight crossing fix)		
2	Sleepover Booking Configuration (compliance hours at lower rate)		
3	Broken Shift — Rest break >= 10 hour ends a broken shift		
4	Broken Shift Across Pay Periods		
5	Consolidated Payslips for Retrospective Bookings		
6	Short Shifts		
7	Discretionary Allowance display on pay advice		
Flame Trees Release			
	Public Holiday Trigger (location-based)		
	Pay Batch Automation		
DOCUMENT ABBREVIATIONS			
Abbreviation	Document		
SOW	Hireup SOW — Final — August 25.docx (SOW No. 20250717H)		
RW	Requirements workbook — Hireup Requirements sheet		
RW-PE	Requirements workbook — Project Evolution sheet		
DW	Payroll Discovery Workbook FINAL 20260115.xlsx		
RAID	Hireup — RAID.xlsx		
TL	Timeline (version 3) High Level.xlsx		

=== SHEET: 2. All Tickets ===
Ticket	Summary	Type	Status	Priority	Classification	Source References	Explanation
PAYM-151	Friday Booking reconciliation report	Medium	40%	L	CR	RW 'Custom reports and dashboards'	Could be training outcome. If 2c9 builds, additional work.	Report building is client-side post-training
PAYM-232	Auto-approve workflow for open timesheets	Medium	55%	M	Negotiate	RW 'Payroll cutoff'; RW 'Pay batch triggering'	Auto-approval is custom scheduled automation beyond standard config.	Need from in-scope cutoff; scheduled job is net-new
PAYM-272	Sleepover bookings crossing midday	Medium	65%	M	Absorb	SOW Gap 2; RW 'Sleepovers'	Interim workaround in scope; permanent fix is scope creep.	Interim workaround falls within Gap 2
PAYM-273	Sleepover — incorrect payment first & active hours	High	60%	M	Absorb	SOW Gap 2; RW 'Sleepovers and disturbances'	Base bug in scope; midnight-crossing expansion beyond basic config.	Base bug clearly in scope; edge is natural extension
PAYM-293	Pay trans import defaulting to $34.59	High	50%	H	Negotiate	SOW 3.3; TL Build 8	Import bug in scope. Conflates with CAG/PPL rate requirements.	Import bug is ours; root cause tangles with undiscovered rates
PAYM-311	Default pay rates for CAG & PPL	High	35%	L	CR	Partially — SOW 3.3; DW does not list CAG/PPL	Config is standard but categories not in Discovery Workbook.	CAG/PPL absent from DW — not agreed
PAYM-327	[Simplification 1] Consolidate Pay Code Structure	High	55%	H	Negotiate	RW 'rationalise names'; SOW 3.3	Architecture rework exceeds 'rationalise names' user story.	Rework — original designs failed for both parties
PAYM-328	[Simplification 2] Decouple Sleepover/Remote from Broken Shift	Medium	50%	H	Negotiate	SOW Gaps 2, 3; RW Broken shift + Sleepovers	Rework of coupling Hireup requested. SOW commits to one build cycle.	Hireup requested coupling then decoupling — shared fault
PAYM-329	[Simplification 3] Standardise Discretionary Allowance	Medium	60%	M	Absorb	SOW Gap 7	Second iteration of Gap 7. First introduced non-standard logic.	Gap 7 commits to discretionary allowance — refinement
PAYM-330	[Simplification 4] Review Broken/Split Shift Logic	Medium	45%	H	Negotiate	SOW Gaps 3, 4, 6; RW broken/short shift stories	Rework of Gaps 3/4/6 due to design complexity.	Complexity neither party foresaw — split cost fairest
PAYM-335	Investigate adjustments for Payee leave events	Medium	65%	M	Absorb	RW 'Dual leave loading' says 'pay the higher'	System defaulting to 17.5% instead of higher weekend rate.	RW says 'pay the higher' — config defect
PAYM-337	Hireup custom Payslip Email body	High	40%	L	CR	SOW Gap 7; SOW Deliverables	Email wrapper for in-scope payslip. Branding/legal beyond config.	SOW commits to content, not custom email wrapper
PAYM-342	Reversed Transactions display on Pay Advice	Medium	55%	M	Negotiate	SOW Gap 5; RW 'Consolidated pay advice'	Gap 5 is consolidation, not reversal display redesign.	Gap 5 covers consolidation; reversal redesign stretches it
PAYM-347	Update MV Allowance to $1.04 per KM	High	70%	L	Absorb	SOW 3.3; DW 'ALLOWANCE PAY CODES'	Discretionary 5c increase. Trivial effort but sets precedent.	Trivial effort; absorbing buys goodwill
PAYM-358	Separate pay code for Training (GL 50710/50720)	High	45%	M	Negotiate	RW 'Remote work and training' (Custom)	RW backs dedicated codes; GL mapping is the extension.	RW supports codes; GL mapping is additive
RESOLUTION BUCKETS								
Bucket	Tickets	Count	Action	Rationale				
Likely Absorb	PAYM-272, 273, 329, 335, 347	5	Accept as in scope or goodwill	Low cost (<40 hrs combined). Fixes defects or trivial config. Buying credibility.				
Negotiate Shared Cost	PAYM-232, 293, 327, 328, 330, 342, 358	7	Propose 50/50 cost share	Genuine shared accountability. Simplification cluster is critical negotiation.				
Push to CR	PAYM-151, 311, 337	3	Add to CR-3 or standalone mini-CR	New deliverables with no SOW anchor. Low risk of pushback.				

=== SHEET: 5. Review Findings ===
Finalised Review Findings and Commercial Strategy			
Independent multi-agent review — 16 April 2026			
METHODOLOGY			
Step	Description		
1. Initial Classification	97 JIRA tickets classified against SOW (Aug 2025), Requirements Workbook, Discovery Workbook, RAID Log, and Project Timeline.		
2. Multi-Agent Review (Pass 1)	Three independent agents challenged classifications: (a) SOW Gap 2 wording, (b) non-gap in-scope tickets, (c) scope creep/borderline counter-check. 23 tickets reclassified.		
3. Multi-Agent Review (Pass 2)	Three finalisation agents reviewed: (a) Contractual defensibility scoring (1-5), (b) Borderline lean % and risk, (c) Commercial packaging and negotiation strategy.		
4. Commercial Packaging	19 scope creep tickets grouped into 3 Change Requests. 15 borderline tickets triaged into Absorb/Negotiate/CR buckets.		
DEFENSIBILITY SUMMARY			
Tier	Items	Strength	Notes
Rock-solid (5/5)	PAYM-159, 166, 173, 241, 262, 271, 333	Very Strong	Zero contractual ambiguity. Hold firm, invoice separately.
Strong (4/5)	PAYM-45, 279, 312, 313, 319, 326, 334, 354	Strong	Expect 'sleepovers were in scope' noise. Defend with Gap 2 wording.
Moderate (3/5)	PAYM-98, 280, 324, 325	Softer	Client can argue 'implementation detail'. Consider conceding 280, 325.
NEGOTIATION STRATEGY			
#	Recommendation		
1	Frame as partnership, not penalty. 'These requirements emerged during build and were not in the signed SOW.'		
2	Lead with CR-1 (Sleepover) and CR-2 (Portable LSL) — strongest contractual positions.		
3	Offer 10-15% package discount if client approves all three CRs together.		
4	Absorb 5 borderline tickets as goodwill concession — demonstrates reasonableness.		
5	Use Simplification cluster (327-330) as 'shared accountability' discussion — propose 50/50 split.		
6	Position CR-3 as 'items we want to deliver well rather than rush under existing budget'.		
7	PAYM-334 (custom widget): include in CR-3 at reduced rate (50-60%). First item to concede if needed.		
8	PAYM-262 (Hibiscus): flag as deferrable post go-live. Easy descope option for client.		
9	TIMING: Raise CR-1 and CR-2 NOW, before PPT2 completes. Waiting weakens position.		
CONCESSION STRATEGY			
Type	Items	Value	Purpose
Concede (goodwill)	PAYM-98, 280, 325	~$5-8k absorbed	Removes weakest arguments, strengthens credibility
Concede (borderline absorb)	PAYM-272, 273, 329, 335, 347	~$8-12k absorbed	Low cost items — defects or trivial config
Total goodwill investment		~$13-20k	Buys credibility to hold firm on $44-59k of genuine scope creep
SOURCE DOCUMENTS			
Document	Reference		
SOW	Hireup SOW — Final — August 25.docx (SOW No. 20250717H, $170,000)		
Requirements Workbook	HireUp — Requirements workbook (User Stories).xlsx		
Discovery Workbook	HireUp — Payroll Discovery Workbook FINAL 20260115.xlsx		
RAID	Hireup — RAID.xlsx		
Timeline	INTERNAL Hireup Program — Copy of Timeline (version 3) High Level.xlsx		
JIRA Export	JIRA.xml (97 tickets from PAYM project)		

